dggs,crs,training_volume,latitude_band,MCR
H3,Corrego,10000,Equatorial (Area-Equal),0.2154577743857692
H3,Corrego,10000,Mid-latitude (Area-Equal),0.24039948055160473
H3,Corrego,10000,Polar (Area-Equal),0.18180465005507426
H3,Corrego,100000,Equatorial (Area-Equal),0.8439252062112895
H3,Corrego,100000,Mid-latitude (Area-Equal),0.908323542143343
H3,Corrego,100000,Polar (Area-Equal),0.8736864040963354
H3,Corrego,1000000,Equatorial (Area-Equal),1.4270995391434527
H3,Corrego,1000000,Mid-latitude (Area-Equal),1.4850349390884918
H3,Corrego,1000000,Polar (Area-Equal),1.4720609687118573
H3,WGS84,10000,Equatorial (Area-Equal),0.27038864718077493
H3,WGS84,10000,Mid-latitude (Area-Equal),0.18938260742044288
H3,WGS84,10000,Polar (Area-Equal),0.1177585444437425
H3,WGS84,100000,Equatorial (Area-Equal),0.8618857126171635
H3,WGS84,100000,Mid-latitude (Area-Equal),0.8360756709194896
H3,WGS84,100000,Polar (Area-Equal),0.860035378103481
H3,WGS84,1000000,Equatorial (Area-Equal),1.4245043361462317
H3,WGS84,1000000,Mid-latitude (Area-Equal),1.4537615486141664
H3,WGS84,1000000,Polar (Area-Equal),1.5081495988375766
rHEALPix,Corrego,10000,Equatorial (Area-Equal),1.4526223139492533
rHEALPix,Corrego,10000,Mid-latitude (Area-Equal),1.4028421566235667
rHEALPix,Corrego,10000,Polar (Area-Equal),1.2589316987740806
rHEALPix,Corrego,100000,Equatorial (Area-Equal),2.4370219740196672
rHEALPix,Corrego,100000,Mid-latitude (Area-Equal),2.4094596242986093
rHEALPix,Corrego,100000,Polar (Area-Equal),2.1539404553415062
rHEALPix,Corrego,1000000,Equatorial (Area-Equal),3.550139613937113
rHEALPix,Corrego,1000000,Mid-latitude (Area-Equal),3.5462612832398146
rHEALPix,Corrego,1000000,Polar (Area-Equal),3.061412726211325
rHEALPix,WGS84,10000,Equatorial (Area-Equal),1.3325622775800712
rHEALPix,WGS84,10000,Mid-latitude (Area-Equal),1.4113813946631284
rHEALPix,WGS84,10000,Polar (Area-Equal),1.322941449096246
rHEALPix,WGS84,100000,Equatorial (Area-Equal),2.3922301304863582
rHEALPix,WGS84,100000,Mid-latitude (Area-Equal),2.410909627008698
rHEALPix,WGS84,100000,Polar (Area-Equal),2.1928935578557085
rHEALPix,WGS84,1000000,Equatorial (Area-Equal),3.50355871886121
rHEALPix,WGS84,1000000,Mid-latitude (Area-Equal),3.5464248857437712
rHEALPix,WGS84,1000000,Polar (Area-Equal),3.0448941758071992
